127.0.0.1 - - [01/Sep/2022:10:40:13 +0900] "GET / HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:35:31 +0900] "GET /member/memberList.pj?type=null&keyword=null HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:41:28 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:41:32 +0900] "GET /member/memberList.pj?type=null&keyword=null HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:42:47 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:42:49 +0900] "GET /member/memberList.pj?type=null&keyword=null HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:43:12 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:43:15 +0900] "GET /member/memberList.pj?type=null&keyword=null HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:43:54 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9153
0:0:0:0:0:0:0:1 - - [01/Sep/2022:11:43:58 +0900] "GET /member/memberList.pj?type=null&keyword=null HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:05:06 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9153
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:29:44 +0900] "GET /auth/login.pj?mem_id=tomato&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:29:44 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9153
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:33:19 +0900] "GET /member/memberList.pj?type=null&keyword=null HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:33:47 +0900] "GET /auth/login.pj?mem_id=tomato&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:33:47 +0900] "GET /auth/index.jsp HTTP/1.1" 500 2331
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:34:12 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8628
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:12 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8628
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:13 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:13 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:32 +0900] "GET /auth/login.pj?mem_id=jin&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:32 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8619
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:51 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8619
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:55 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:35:55 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:36:03 +0900] "GET /auth/login.pj?mem_id=tomato&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:36:03 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8628
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:37:42 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8628
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:37:43 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:37:43 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9157
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:37:44 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9157
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:37:49 +0900] "GET /auth/login.pj?mem_id=jin&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:37:49 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8619
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:38:20 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8619
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:38:21 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:38:21 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:39:13 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:39:18 +0900] "GET /auth/login.pj?mem_id=tomato&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:39:18 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:40:00 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:40:03 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:40:03 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9193
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:40:21 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:40:44 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:41:22 +0900] "GET /auth/index.jsp HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:41:32 +0900] "GET /auth/login.pj?mem_id=tomato&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:41:32 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:42:57 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:42:59 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:42:59 +0900] "GET /auth/index.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:43:13 +0900] "GET /auth/login.pj?mem_id=tomato&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:43:13 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:43:15 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:43:15 +0900] "GET /auth/index.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:43:24 +0900] "GET /auth/login.pj?mem_id=jin&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:43:24 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:44:17 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:44:18 +0900] "GET /auth/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:44:18 +0900] "GET /auth/index.jsp HTTP/1.1" 200 7696
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:44:20 +0900] "GET /auth/index.jsp HTTP/1.1" 200 7696
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:44:25 +0900] "GET /auth/login.pj?mem_id=jin&mem_pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:12:44:25 +0900] "GET /auth/index.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [01/Sep/2022:13:24:26 +0900] "GET /auth/index.jsp HTTP/1.1" 200 7696
